Trial_ID,Probe,Target,Cate,Wlevel
1,car,mechanic,high,5
2,jungle,monkey,high,5
3,cinema,screen,high,5
4,rings,diamonds,high,5
5,batteries,console,med,4
6,lemonade,straw,med,4
7,cot,pacifier,med,4
8,pike,river,med,4
9,curtain,kitchen,low,3
10,iron,sheet,low,3
11,bench,football,low,3
12,jar,money,low,3
13,baggage,shoulder,low,2
14, person,cell,low,2
15, buyer,solicitor,low,2
16,hairband,dryer,low,2
17,portrait,cargo,UR,0
18,flight,tooth,UR,0
19,train,egg,UR,0
20,pot,spanner,UR,0
21,stapler,forest,UR,0
22,damp,plug,UR,0
23,archery,bruise,UR,0
24,lab,mallet,UR,0
