Trial_id,Probe,Target,Ass_strength,Category,Wlevel,,,,Probe,,,,,,,,,Target,,,,,,,
1,cottage,thigh,0.0000000,ur,0,,,,,31.01,32.17,16.15,1.51,7,607,-1,,,12.68,13.67,0,1.14,5,543,-1
2,television,root,0.0000000,ur,0,,,,,113.58,105.3,219.23,2.06,10,-1,654,,,22.96,21.99,35.38,1.38,4,539,-1
3,seat,grapefruit,0.0000000,ur,0,,,,,77.99,81.69,30.77,1.9,4,604,-1,,,1.51,1.63,0,0.4,10,-1,-1
4,prune,poker,0.0000000,ur,0,,,,,1.79,1.87,0.77,0.45,5,578,490,,,5.59,6.02,0,0.82,5,530,-1
5,cod,pen,0.0000000,ur,0,,,,,9.72,10.48,0,1.03,3,-1,561,,,19.44,19.94,13.08,1.31,3,576,-1
6,data,latin,0.0000000,ur,0,,,,,46.93,47.71,36.92,1.68,4,375,-1,,,0,0,0,0,5,-1,-1
7,antelope,capsule,0.0000000,ur,0,,,,,3.8,4.1,0,0.68,8,-1,596,,,3.07,3.19,1.54,0.61,7,594,-1
8,javelin,kettle,0.0000000,ur,0,,,,,0.34,0.36,0,0.13,7,-1,-1,,,11.12,11.75,3.08,1.08,6,594,-1
9,pipe,match,0.0000000,ur,0,,,,,22.91,23.01,21.54,1.38,4,617,-1,,,56.98,59.52,24.62,1.76,5,490,403
10,blazer,foal,0.0000000,ur,0,,,,,3.74,3.86,2.31,0.68,6,499,-1,,,1.06,1.14,0,0.31,4,448,-1
11,syrup,ankle,0.0000000,ur,0,,,,,6.31,6.75,0.77,0.86,5,535,-1,,,10.34,10.84,3.85,1.05,5,613,-1
12,wheat,trophy,0.0000000,ur,0,,,,,29.44,30.72,13.08,1.48,5,577,-1,,,2.46,2.65,0,0.54,6,617,-1
13,seagulls,keyboard,0.0000000,ur,0,,,,,0.5,0.54,0,0.18,8,-1,-1,,,2.63,2.59,3.08,0.56,8,-1,-1
14,taxi,blossom,0.0000000,ur,0,,,,,29.61,30.36,20,1.49,4,-1,639,,,3.69,3.98,0,0.67,7,618,-1
15,kiwi,locker,0.0000000,ur,0,,,,,0.61,0.66,0,0.21,4,-1,510,,,5.03,5.36,0.77,0.78,6,569,-1
16,wool,album,0.0000000,ur,0,,,,,21.45,22.83,3.85,1.35,4,586,-1,,,5.64,4.64,18.46,0.82,5,-1,-1
17,printer,trumpet,0.0000000,ur,0,,,,,3.74,3.98,0.77,0.68,7,-1,519,,,4.86,5.12,1.54,0.77,7,628,-1
18,hanger,policeman,0.0000000,ur,0,,,,,0.78,0.84,0,0.25,6,-1,-1,,,21.56,22.05,15.38,1.35,9,629,-1
19,goat,jacket,0.0000000,ur,0,,,,,11.68,12.41,2.31,1.1,4,636,-1,,,34.47,36.69,6.15,1.55,6,632,-1
20,error,ship,0.0000000,ur,0,,,,,20.45,21.08,12.31,1.33,5,408,-1,,,45.25,46.87,24.62,1.67,4,612,-1
21,canyon,elf,0.0000000,ur,0,,,,,8.32,8.98,0,0.97,6,566,-1,,,0.34,0.36,0,0.13,3,543,-1
22,wing,walnut,0.0000000,ur,0,,,,,32.63,33.92,16.15,1.53,4,576,-1,,,3.91,4.22,0,0.69,6,590,-1
23,peacock,typhoon,0.0000000,ur,0,,,,,2.91,3.01,1.54,0.59,7,-1,612,,,0.39,0.36,0.77,0.14,7,536,-1
24,vault,ewe,0.0000000,ur,0,,,,,3.24,3.49,0,0.63,5,550,476,,,1.23,1.33,0,0.35,3,481,-1
25,handcuffs,birch,0.0000000,ur,0,,,,,2.12,2.29,0,0.49,9,-1,-1,,,3.8,3.92,2.31,0.68,5,561,-1
26,farmyard,sergeant,0.0000000,ur,0,,,,,2.29,2.47,0,0.52,8,594,-1,,,20.39,21.87,1.54,1.33,8,549,-1
27,basketball,dessert,0.0000000,ur,0,,,,,2.4,2.59,0,0.53,10,-1,-1,,,4.47,4.82,0,0.74,7,-1,-1
28,albatross,uniform,0.0000000,ur,0,,,,,0.78,0.84,0,0.25,9,583,-1,,,27.88,29.16,11.54,1.46,7,591,-1
29,bracelet,flea,0.0000000,ur,0,,,,,3.63,3.92,0,0.67,8,606,-1,,,1.68,1.75,0.77,0.43,4,606,-1
30,clown,cliff,0.0000000,ur,0,,,,,3.24,3.49,0,0.63,5,589,-1,,,16.42,17.23,6.15,1.24,5,599,-1
31,earphone,handwriting,0.0000000,ur,0,,,,,0,0,0,0,8,-1,-1,,,0,0,0,0,11,-1,-1
32,plaster,library,0.0000000,ur,0,,,,,11.9,12.59,3.08,1.11,7,-1,-1,,,52.63,51.33,69.23,1.73,7,587,-1
33,arrow,pineapple,0.0000000,ur,0,,,,,8.1,7.83,11.54,0.96,5,463,-1,,,2.46,2.35,3.85,0.54,9,569,-1
34,bell,lotus,0.0000000,ur,0,,,,,39.33,38.25,53.08,1.61,4,566,-1,,,1.9,2.05,0,0.46,5,-1,-1
35,rhinoceros,rug,0.0000000,ur,0,,,,,1.56,1.69,0,0.41,10,-1,591,,,11.68,12.47,1.54,1.1,3,591,-1
36,washer,lily,0.0000000,ur,0,,,,,1.68,1.75,0.77,0.43,6,-1,-1,,,6.7,7.17,0.77,0.89,4,541,-1
37, army,crag,0.0000000,ur,0,,,,,107.99,112.95,44.62,2.04,4,578,-1,,,2.29,2.41,0.77,0.52,4,-1,-1
38,newt,lightning,0.0000000,ur,0,,,,,0.61,0.66,0,0.21,4,472,-1,,,14.13,14.94,3.85,1.18,9,599,-1
39,turban,cedar,0.0000000,ur,0,,,,,2.4,2.59,0,0.53,6,576,-1,,,2.12,2.29,0,0.49,5,516,-1
40,crocodile,velcro,0.0000000,ur,0,,,,,3.85,4.16,0,0.69,9,601,-1,,,0,0,0,0,6,-1,-1
41,kangaroo,aerial,0.0172414,ur,0,,,,,1.96,2.05,0.77,0.47,8,-1,627,,,3.91,4.22,0,0.69,6,567,-1
42,university,pig,0.0172414,ur,0,,,,,196.98,161.81,646.15,2.3,10,615,-1,,,17.88,18.98,3.85,1.28,3,635,-1
43,vinegar,bone,0.0172414,ur,0,,,,,8.66,9.16,2.31,0.98,7,562,-1,,,27.26,29.16,3.08,1.45,4,625,-1
44,brain,ocean,0.0344828,ur,0,,,,,69.22,71.87,35.38,1.85,5,572,-1,,,24.36,25.72,6.92,1.4,5,623,-1
45,mop,skin,0.0689655,ur,0,,,,,4.08,4.16,3.08,0.71,3,-1,502,,,90.34,96.45,12.31,1.96,4,603,-1
