Trial_ID,Probe,Target
123,mirror,lipstick
99,dirt,gravestone
174,waitress,restaurant
32,plaster,library
40,crocodile,velcro
22,wing,walnut
175,web,spider
34,bell,lotus
152,bonus,extra
92,pot,hat
170,church,vicar
91,speech,brief
146,submarine ,diver
119,wall,clock
190,pike,river
112,bib,porridge
127,ferry,engine
165,monarch,throne
35,rhinoceros,rug
6,data,latin
121,python,tree
228,court,lawyer
160,pram,baby
55,hall,ivy
148,rabbi,synagogue
3,seat,grapefruit
96,office,plant
166,hotel,guest
136,robot,wires
68,debt,sovereign
16,wool,album
140,podium,gymnast
135,tank,oxygen
69,stork,roof
115,lobster,butter
11,syrup,ankle
101,shirt,lace
54,uncle,loan
105,calculator,notebook
176,paramedic,ambulance
218,melody,flute
30,clown,cliff
133,barber,shears
186,cloth,dish
149,squirrel,woodland
224,landlord,house
45,mop,skin
184,microbes,pillow
216,tulip,vase
77,steak,money
211,surgeon,scalpel
60,roach,fat
217,farm,sheep
219,garage,car
113,lake,oar
214,cow,milk
171,pumpkin,halloween
