Trial_ID,Probe,Target,Cate,Wlevel
125,fire,forest,med,4
91,speech,brief,low,2
9,pipe,match,ur,0
103,dishwasher,colander,med,3
133,barber,shears,med,5
106,receipt,bag,med,3
13,seagulls,keyboard,ur,0
168,belt,vest,high,7
118,compost,daffodils,med,4
44,brain,ocean,ur,0
48,flag,lettuce,ur,0
167,veil,bride,high,7
70,fur,money,low,1
130,photo,profile,med,4
135,tank,oxygen,med,5
57,depth,plumber,ur,0
100,factory,cardboard,low,2
174,waitress, restaurant,high,7
63,disc,sport,low,1
28,albatross,uniform,ur,0
78,duster,tiles,low,1
146,submarine ,diver,high,6
65,salt,jellyfish,low,1
149,squirrel,woodland,high,6
72,keys,passport,low,1
86,wolf,sledge,low,2
23,peacock,typhoon,ur,0
60,roach,fat,ur,0
144,method,recipe,high,6
165,monarch,throne,high,7
150,hymn, organ,high,6
4,prune,poker,ur,0
68,debt,sovereign,low,1
170,church,vicar,high,7
109,lager, lime,med,4
180,ashtray, cigarette,high,7
39,turban,cedar,ur,0
55,hall,ivy,ur,0
131,canvas,wall,med,4
129,forge,blacksmith,med,4
26,farmyard,sergeant,ur,0
36,washer,lily,ur,0
10,blazer,foal,ur,0
97,coasters,bowl,low,2
25,handcuffs,birch,ur,0
