Trial_ID,Probe,Target
147,bedroom,dresser
150,hymn,organ
163,tea,mug
74,thermostat,mercury
78,duster,tiles
72,keys,passport
62,cheek,chops
70,fur,money
129,forge,blacksmith
107,classroom,easel
134,reed,marsh
51,tornado,pup
33,arrow,pineapple
7,antelope,capsule
86,wolf,sledge
182,lavender,wig
212,whale,plankton
196,deity,invocation
221,kitchen,chef
103,dishwasher,colander
38,newt,lightning
100,factory,cardboard
157,lorry,highway
58,cleaver,coffee
76,tape,book
205,bird,gun
143,antique,museum
81,dinner,dog
172,fiction,author
187,ache,bruise
159,cocktail,bar
202,town,chief
89,sink,filter
42,university,pig
162,jug,water
28,albatross,uniform
128,curb,streetlight
145,bookmark,page
164,frame,picture
151,cactus,desert
17,printer,trumpet
223,business,customer
131,canvas,wall
220,pulpit,preacher
194,trolley,lollipop
41,kangaroo,aerial
227,medicine,doctor
120,plane,hangar
47,juice,sand
195,aquifer,turtle
111,funeral,candle
180,ashtray,cigarette
98,meaning,idea
213,vet,animal
80,nature,child
14,taxi,blossom
193,dove,trainer
